PRICE,MAINT,DOORS,PERSONS,SAFETY,CLASS
40000,2000,2,2,low,unacc
40000,2000,2,2,med,unacc
40000,2000,2,2,high,unacc
40000,2000,2,2,low,unacc
40000,2000,2,2,med,unacc
40000,2000,2,2,high,unacc
40000,2000,2,2,low,unacc
40000,2000,2,2,med,unacc
40000,2000,2,2,high,unacc
40000,2000,2,4,low,unacc
40000,2000,2,4,med,unacc
40000,2000,2,4,high,unacc
40000,2000,2,4,low,unacc
40000,2000,2,4,med,unacc
40000,2000,2,4,high,unacc
40000,2000,2,4,low,unacc
40000,2000,2,4,med,unacc
40000,2000,2,4,high,unacc
40000,2000,2,5,low,unacc
40000,2000,2,5,med,unacc
40000,2000,2,5,high,unacc
40000,2000,2,5,low,unacc
40000,2000,2,5,med,unacc
40000,2000,2,5,high,unacc
40000,2000,2,5,low,unacc
40000,2000,2,5,med,unacc
40000,2000,2,5,high,unacc
40000,2000,3,2,low,unacc
40000,2000,3,2,med,unacc
40000,2000,3,2,high,unacc
40000,2000,3,2,low,unacc
40000,2000,3,2,med,unacc
40000,2000,3,2,high,unacc
40000,2000,3,2,low,unacc
40000,2000,3,2,med,unacc
40000,2000,3,2,high,unacc
40000,2000,3,4,low,unacc
40000,2000,3,4,med,unacc
40000,2000,3,4,high,unacc
40000,2000,3,4,low,unacc
40000,2000,3,4,med,unacc
40000,2000,3,4,high,unacc
40000,2000,3,4,low,unacc
40000,2000,3,4,med,unacc
40000,2000,3,4,high,unacc
40000,2000,3,5,low,unacc
40000,2000,3,5,med,unacc
40000,2000,3,5,high,unacc
40000,2000,3,5,low,unacc
40000,2000,3,5,med,unacc
40000,2000,3,5,high,unacc
40000,2000,3,5,low,unacc
40000,2000,3,5,med,unacc
40000,2000,3,5,high,unacc
40000,2000,4,2,low,unacc
40000,2000,4,2,med,unacc
40000,2000,4,2,high,unacc
40000,2000,4,2,low,unacc
40000,2000,4,2,med,unacc
40000,2000,4,2,high,unacc
40000,2000,4,2,low,unacc
40000,2000,4,2,med,unacc
40000,2000,4,2,high,unacc
40000,2000,4,4,low,unacc
40000,2000,4,4,med,unacc
40000,2000,4,4,high,unacc
40000,2000,4,4,low,unacc
40000,2000,4,4,med,unacc
40000,2000,4,4,high,unacc
40000,2000,4,4,low,unacc
40000,2000,4,4,med,unacc
40000,2000,4,4,high,unacc
40000,2000,4,5,low,unacc
40000,2000,4,5,med,unacc
40000,2000,4,5,high,unacc
40000,2000,4,5,low,unacc
40000,2000,4,5,med,unacc
40000,2000,4,5,high,unacc
40000,2000,4,5,low,unacc
40000,2000,4,5,med,unacc
40000,2000,4,5,high,unacc
40000,2000,5,2,low,unacc
40000,2000,5,2,med,unacc
40000,2000,5,2,high,unacc
40000,2000,5,2,low,unacc
40000,2000,5,2,med,unacc
40000,2000,5,2,high,unacc
40000,2000,5,2,low,unacc
40000,2000,5,2,med,unacc
40000,2000,5,2,high,unacc
40000,2000,5,4,low,unacc
40000,2000,5,4,med,unacc
40000,2000,5,4,high,unacc
40000,2000,5,4,low,unacc
40000,2000,5,4,med,unacc
40000,2000,5,4,high,unacc
40000,2000,5,4,low,unacc
40000,2000,5,4,med,unacc
40000,2000,5,4,high,unacc
40000,2000,5,5,low,unacc
40000,2000,5,5,med,unacc
40000,2000,5,5,high,unacc
40000,2000,5,5,low,unacc
40000,2000,5,5,med,unacc
40000,2000,5,5,high,unacc
40000,2000,5,5,low,unacc
40000,2000,5,5,med,unacc
40000,2000,5,5,high,unacc
40000,1500,2,2,low,unacc
40000,1500,2,2,med,unacc
40000,1500,2,2,high,unacc
40000,1500,2,2,low,unacc
40000,1500,2,2,med,unacc
40000,1500,2,2,high,unacc
40000,1500,2,2,low,unacc
40000,1500,2,2,med,unacc
40000,1500,2,2,high,unacc
40000,1500,2,4,low,unacc
40000,1500,2,4,med,unacc
40000,1500,2,4,high,unacc
40000,1500,2,4,low,unacc
40000,1500,2,4,med,unacc
40000,1500,2,4,high,unacc
40000,1500,2,4,low,unacc
40000,1500,2,4,med,unacc
40000,1500,2,4,high,unacc
40000,1500,2,5,low,unacc
40000,1500,2,5,med,unacc
40000,1500,2,5,high,unacc
40000,1500,2,5,low,unacc
40000,1500,2,5,med,unacc
40000,1500,2,5,high,unacc
40000,1500,2,5,low,unacc
40000,1500,2,5,med,unacc
40000,1500,2,5,high,unacc
40000,1500,3,2,low,unacc
40000,1500,3,2,med,unacc
40000,1500,3,2,high,unacc
40000,1500,3,2,low,unacc
40000,1500,3,2,med,unacc
40000,1500,3,2,high,unacc
40000,1500,3,2,low,unacc
40000,1500,3,2,med,unacc
40000,1500,3,2,high,unacc
40000,1500,3,4,low,unacc
40000,1500,3,4,med,unacc
40000,1500,3,4,high,unacc
40000,1500,3,4,low,unacc
40000,1500,3,4,med,unacc
40000,1500,3,4,high,unacc
40000,1500,3,4,low,unacc
40000,1500,3,4,med,unacc
40000,1500,3,4,high,unacc
40000,1500,3,5,low,unacc
40000,1500,3,5,med,unacc
40000,1500,3,5,high,unacc
40000,1500,3,5,low,unacc
40000,1500,3,5,med,unacc
40000,1500,3,5,high,unacc
40000,1500,3,5,low,unacc
40000,1500,3,5,med,unacc
40000,1500,3,5,high,unacc
40000,1500,4,2,low,unacc
40000,1500,4,2,med,unacc
40000,1500,4,2,high,unacc
40000,1500,4,2,low,unacc
40000,1500,4,2,med,unacc
40000,1500,4,2,high,unacc
40000,1500,4,2,low,unacc
40000,1500,4,2,med,unacc
40000,1500,4,2,high,unacc
40000,1500,4,4,low,unacc
40000,1500,4,4,med,unacc
40000,1500,4,4,high,unacc
40000,1500,4,4,low,unacc
40000,1500,4,4,med,unacc
40000,1500,4,4,high,unacc
40000,1500,4,4,low,unacc
40000,1500,4,4,med,unacc
40000,1500,4,4,high,unacc
40000,1500,4,5,low,unacc
40000,1500,4,5,med,unacc
40000,1500,4,5,high,unacc
40000,1500,4,5,low,unacc
40000,1500,4,5,med,unacc
40000,1500,4,5,high,unacc
40000,1500,4,5,low,unacc
40000,1500,4,5,med,unacc
40000,1500,4,5,high,unacc
40000,1500,5,2,low,unacc
40000,1500,5,2,med,unacc
40000,1500,5,2,high,unacc
40000,1500,5,2,low,unacc
40000,1500,5,2,med,unacc
40000,1500,5,2,high,unacc
40000,1500,5,2,low,unacc
40000,1500,5,2,med,unacc
40000,1500,5,2,high,unacc
40000,1500,5,4,low,unacc
40000,1500,5,4,med,unacc
40000,1500,5,4,high,unacc
40000,1500,5,4,low,unacc
40000,1500,5,4,med,unacc
40000,1500,5,4,high,unacc
40000,1500,5,4,low,unacc
40000,1500,5,4,med,unacc
40000,1500,5,4,high,unacc
40000,1500,5,5,low,unacc
40000,1500,5,5,med,unacc
40000,1500,5,5,high,unacc
40000,1500,5,5,low,unacc
40000,1500,5,5,med,unacc
40000,1500,5,5,high,unacc
40000,1500,5,5,low,unacc
40000,1500,5,5,med,unacc
40000,1500,5,5,high,unacc
40000,1000,2,2,low,unacc
40000,1000,2,2,med,unacc
40000,1000,2,2,high,unacc
40000,1000,2,2,low,unacc
40000,1000,2,2,med,unacc
40000,1000,2,2,high,unacc
40000,1000,2,2,low,unacc
40000,1000,2,2,med,unacc
40000,1000,2,2,high,unacc
40000,1000,2,4,low,unacc
40000,1000,2,4,med,unacc
40000,1000,2,4,high,acc
40000,1000,2,4,low,unacc
40000,1000,2,4,med,unacc
40000,1000,2,4,high,acc
40000,1000,2,4,low,unacc
40000,1000,2,4,med,acc
40000,1000,2,4,high,acc
40000,1000,2,5,low,unacc
40000,1000,2,5,med,unacc
40000,1000,2,5,high,unacc
40000,1000,2,5,low,unacc
40000,1000,2,5,med,unacc
40000,1000,2,5,high,acc
40000,1000,2,5,low,unacc
40000,1000,2,5,med,acc
40000,1000,2,5,high,acc
40000,1000,3,2,low,unacc
40000,1000,3,2,med,unacc
40000,1000,3,2,high,unacc
40000,1000,3,2,low,unacc
40000,1000,3,2,med,unacc
40000,1000,3,2,high,unacc
40000,1000,3,2,low,unacc
40000,1000,3,2,med,unacc
40000,1000,3,2,high,unacc
40000,1000,3,4,low,unacc
40000,1000,3,4,med,unacc
40000,1000,3,4,high,acc
40000,1000,3,4,low,unacc
40000,1000,3,4,med,unacc
40000,1000,3,4,high,acc
40000,1000,3,4,low,unacc
40000,1000,3,4,med,acc
40000,1000,3,4,high,acc
40000,1000,3,5,low,unacc
40000,1000,3,5,med,unacc
40000,1000,3,5,high,acc
40000,1000,3,5,low,unacc
40000,1000,3,5,med,acc
40000,1000,3,5,high,acc
40000,1000,3,5,low,unacc
40000,1000,3,5,med,acc
40000,1000,3,5,high,acc
40000,1000,4,2,low,unacc
40000,1000,4,2,med,unacc
40000,1000,4,2,high,unacc
40000,1000,4,2,low,unacc
40000,1000,4,2,med,unacc
40000,1000,4,2,high,unacc
40000,1000,4,2,low,unacc
40000,1000,4,2,med,unacc
40000,1000,4,2,high,unacc
40000,1000,4,4,low,unacc
40000,1000,4,4,med,unacc
40000,1000,4,4,high,acc
40000,1000,4,4,low,unacc
40000,1000,4,4,med,acc
40000,1000,4,4,high,acc
40000,1000,4,4,low,unacc
40000,1000,4,4,med,acc
40000,1000,4,4,high,acc
40000,1000,4,5,low,unacc
40000,1000,4,5,med,unacc
40000,1000,4,5,high,acc
40000,1000,4,5,low,unacc
40000,1000,4,5,med,acc
40000,1000,4,5,high,acc
40000,1000,4,5,low,unacc
40000,1000,4,5,med,acc
40000,1000,4,5,high,acc
40000,1000,5,2,low,unacc
40000,1000,5,2,med,unacc
40000,1000,5,2,high,unacc
40000,1000,5,2,low,unacc
40000,1000,5,2,med,unacc
40000,1000,5,2,high,unacc
40000,1000,5,2,low,unacc
40000,1000,5,2,med,unacc
40000,1000,5,2,high,unacc
40000,1000,5,4,low,unacc
40000,1000,5,4,med,unacc
40000,1000,5,4,high,acc
40000,1000,5,4,low,unacc
40000,1000,5,4,med,acc
40000,1000,5,4,high,acc
40000,1000,5,4,low,unacc
40000,1000,5,4,med,acc
40000,1000,5,4,high,acc
40000,1000,5,5,low,unacc
40000,1000,5,5,med,unacc
40000,1000,5,5,high,acc
40000,1000,5,5,low,unacc
40000,1000,5,5,med,acc
40000,1000,5,5,high,acc
40000,1000,5,5,low,unacc
40000,1000,5,5,med,acc
40000,1000,5,5,high,acc
40000,500,2,2,low,unacc
40000,500,2,2,med,unacc
40000,500,2,2,high,unacc
40000,500,2,2,low,unacc
40000,500,2,2,med,unacc
40000,500,2,2,high,unacc
40000,500,2,2,low,unacc
40000,500,2,2,med,unacc
40000,500,2,2,high,unacc
40000,500,2,4,low,unacc
40000,500,2,4,med,unacc
40000,500,2,4,high,acc
40000,500,2,4,low,unacc
40000,500,2,4,med,unacc
40000,500,2,4,high,acc
40000,500,2,4,low,unacc
40000,500,2,4,med,acc
40000,500,2,4,high,acc
40000,500,2,5,low,unacc
40000,500,2,5,med,unacc
40000,500,2,5,high,unacc
40000,500,2,5,low,unacc
40000,500,2,5,med,unacc
40000,500,2,5,high,acc
40000,500,2,5,low,unacc
40000,500,2,5,med,acc
40000,500,2,5,high,acc
40000,500,3,2,low,unacc
40000,500,3,2,med,unacc
40000,500,3,2,high,unacc
40000,500,3,2,low,unacc
40000,500,3,2,med,unacc
40000,500,3,2,high,unacc
40000,500,3,2,low,unacc
40000,500,3,2,med,unacc
40000,500,3,2,high,unacc
40000,500,3,4,low,unacc
40000,500,3,4,med,unacc
40000,500,3,4,high,acc
40000,500,3,4,low,unacc
40000,500,3,4,med,unacc
40000,500,3,4,high,acc
40000,500,3,4,low,unacc
40000,500,3,4,med,acc
40000,500,3,4,high,acc
40000,500,3,5,low,unacc
40000,500,3,5,med,unacc
40000,500,3,5,high,acc
40000,500,3,5,low,unacc
40000,500,3,5,med,acc
40000,500,3,5,high,acc
40000,500,3,5,low,unacc
40000,500,3,5,med,acc
40000,500,3,5,high,acc
40000,500,4,2,low,unacc
40000,500,4,2,med,unacc
40000,500,4,2,high,unacc
40000,500,4,2,low,unacc
40000,500,4,2,med,unacc
40000,500,4,2,high,unacc
40000,500,4,2,low,unacc
40000,500,4,2,med,unacc
40000,500,4,2,high,unacc
40000,500,4,4,low,unacc
40000,500,4,4,med,unacc
40000,500,4,4,high,acc
40000,500,4,4,low,unacc
40000,500,4,4,med,acc
40000,500,4,4,high,acc
40000,500,4,4,low,unacc
40000,500,4,4,med,acc
40000,500,4,4,high,acc
40000,500,4,5,low,unacc
40000,500,4,5,med,unacc
40000,500,4,5,high,acc
40000,500,4,5,low,unacc
40000,500,4,5,med,acc
40000,500,4,5,high,acc
40000,500,4,5,low,unacc
40000,500,4,5,med,acc
40000,500,4,5,high,acc
40000,500,5,2,low,unacc
40000,500,5,2,med,unacc
40000,500,5,2,high,unacc
40000,500,5,2,low,unacc
40000,500,5,2,med,unacc
40000,500,5,2,high,unacc
40000,500,5,2,low,unacc
40000,500,5,2,med,unacc
40000,500,5,2,high,unacc
40000,500,5,4,low,unacc
40000,500,5,4,med,unacc
40000,500,5,4,high,acc
40000,500,5,4,low,unacc
40000,500,5,4,med,acc
40000,500,5,4,high,acc
40000,500,5,4,low,unacc
40000,500,5,4,med,acc
40000,500,5,4,high,acc
40000,500,5,5,low,unacc
40000,500,5,5,med,unacc
40000,500,5,5,high,acc
40000,500,5,5,low,unacc
40000,500,5,5,med,acc
40000,500,5,5,high,acc
40000,500,5,5,low,unacc
40000,500,5,5,med,acc
40000,500,5,5,high,acc
30000,2000,2,2,low,unacc
30000,2000,2,2,med,unacc
30000,2000,2,2,high,unacc
30000,2000,2,2,low,unacc
30000,2000,2,2,med,unacc
30000,2000,2,2,high,unacc
30000,2000,2,2,low,unacc
30000,2000,2,2,med,unacc
30000,2000,2,2,high,unacc
30000,2000,2,4,low,unacc
30000,2000,2,4,med,unacc
30000,2000,2,4,high,unacc
30000,2000,2,4,low,unacc
30000,2000,2,4,med,unacc
30000,2000,2,4,high,unacc
30000,2000,2,4,low,unacc
30000,2000,2,4,med,unacc
30000,2000,2,4,high,unacc
30000,2000,2,5,low,unacc
30000,2000,2,5,med,unacc
30000,2000,2,5,high,unacc
30000,2000,2,5,low,unacc
30000,2000,2,5,med,unacc
30000,2000,2,5,high,unacc
30000,2000,2,5,low,unacc
30000,2000,2,5,med,unacc
30000,2000,2,5,high,unacc
30000,2000,3,2,low,unacc
30000,2000,3,2,med,unacc
30000,2000,3,2,high,unacc
30000,2000,3,2,low,unacc
30000,2000,3,2,med,unacc
30000,2000,3,2,high,unacc
30000,2000,3,2,low,unacc
30000,2000,3,2,med,unacc
30000,2000,3,2,high,unacc
30000,2000,3,4,low,unacc
30000,2000,3,4,med,unacc
30000,2000,3,4,high,unacc
30000,2000,3,4,low,unacc
30000,2000,3,4,med,unacc
30000,2000,3,4,high,unacc
30000,2000,3,4,low,unacc
30000,2000,3,4,med,unacc
30000,2000,3,4,high,unacc
30000,2000,3,5,low,unacc
30000,2000,3,5,med,unacc
30000,2000,3,5,high,unacc
30000,2000,3,5,low,unacc
30000,2000,3,5,med,unacc
30000,2000,3,5,high,unacc
30000,2000,3,5,low,unacc
30000,2000,3,5,med,unacc
30000,2000,3,5,high,unacc
30000,2000,4,2,low,unacc
30000,2000,4,2,med,unacc
30000,2000,4,2,high,unacc
30000,2000,4,2,low,unacc
30000,2000,4,2,med,unacc
30000,2000,4,2,high,unacc
30000,2000,4,2,low,unacc
30000,2000,4,2,med,unacc
30000,2000,4,2,high,unacc
30000,2000,4,4,low,unacc
30000,2000,4,4,med,unacc
30000,2000,4,4,high,unacc
30000,2000,4,4,low,unacc
30000,2000,4,4,med,unacc
30000,2000,4,4,high,unacc
30000,2000,4,4,low,unacc
30000,2000,4,4,med,unacc
30000,2000,4,4,high,unacc
30000,2000,4,5,low,unacc
30000,2000,4,5,med,unacc
30000,2000,4,5,high,unacc
30000,2000,4,5,low,unacc
30000,2000,4,5,med,unacc
30000,2000,4,5,high,unacc
30000,2000,4,5,low,unacc
30000,2000,4,5,med,unacc
30000,2000,4,5,high,unacc
30000,2000,5,2,low,unacc
30000,2000,5,2,med,unacc
30000,2000,5,2,high,unacc
30000,2000,5,2,low,unacc
30000,2000,5,2,med,unacc
30000,2000,5,2,high,unacc
30000,2000,5,2,low,unacc
30000,2000,5,2,med,unacc
30000,2000,5,2,high,unacc
30000,2000,5,4,low,unacc
30000,2000,5,4,med,unacc
30000,2000,5,4,high,unacc
30000,2000,5,4,low,unacc
30000,2000,5,4,med,unacc
30000,2000,5,4,high,unacc
30000,2000,5,4,low,unacc
30000,2000,5,4,med,unacc
30000,2000,5,4,high,unacc
30000,2000,5,5,low,unacc
30000,2000,5,5,med,unacc
30000,2000,5,5,high,unacc
30000,2000,5,5,low,unacc
30000,2000,5,5,med,unacc
30000,2000,5,5,high,unacc
30000,2000,5,5,low,unacc
30000,2000,5,5,med,unacc
30000,2000,5,5,high,unacc
30000,1500,2,2,low,unacc
30000,1500,2,2,med,unacc
30000,1500,2,2,high,unacc
30000,1500,2,2,low,unacc
30000,1500,2,2,med,unacc
30000,1500,2,2,high,unacc
30000,1500,2,2,low,unacc
30000,1500,2,2,med,unacc
30000,1500,2,2,high,unacc
30000,1500,2,4,low,unacc
30000,1500,2,4,med,unacc
30000,1500,2,4,high,acc
30000,1500,2,4,low,unacc
30000,1500,2,4,med,unacc
30000,1500,2,4,high,acc
30000,1500,2,4,low,unacc
30000,1500,2,4,med,acc
30000,1500,2,4,high,acc
30000,1500,2,5,low,unacc
30000,1500,2,5,med,unacc
30000,1500,2,5,high,unacc
30000,1500,2,5,low,unacc
30000,1500,2,5,med,unacc
30000,1500,2,5,high,acc
30000,1500,2,5,low,unacc
30000,1500,2,5,med,acc
